류산슬덮밥,550,574.992,73.947,26.962,19.039
멍게비빔밥,400,547.21,90.7,16.6,13.1
멸치주먹밥,150,312,54.3,9,6.6
묵밥,950,642.16,128.6,14.8,7.7
문어초밥,250,392.227,81.778,14.614,0.74
비빔밥,450,691.62,98.7,24.6,22
삼선볶음밥,400,686.108,85.754,26.237,26.461
새우초밥,250,387.671,78.422,16.804,0.752
새우튀김롤,300,606.504,96.281,14.467,18.168
샐러드김밥,250,405.948,61.451,9.616,13.52
생선초밥(광어),300,453.777,77.547,27.069,3.923
생선초밥(모듬),300,461.966,76.431,25.423,6.061
소고기국밥,700,330.53,42.6,21.8,8.1
소고기김밥,250,400.609,62.518,15.978,9.625
송이덮밥,600,581.806,95.601,18.214,14.06
숯불갈비 삼각김밥,100,161.243,32.547,3.998,1.674
약초비빔밥,400,511.8,80.2,11.9,15.9
연어롤,300,510.191,74.318,18.571,15.404
연어초밥,250,447.318,71.037,18.883,9.738
오곡밥,250,388.816,82.321,11.952,1.303
자장밥,500,741.66,120.057,15.236,22.277
잡탕밥,750,777.439,104.937,44.12,20.135
장어덮밥,400,716.541,97.351,30.088,22.976
장어초밥,250,486.26,80.681,16.52,10.828
참치덮밥,500,679.101,102.931,29.201,16.73
참치마요네즈 삼각김밥,100,172.397,31.953,3.941,3.202
충무김밥,400,583.926,109.156,23.425,5.956
캘리포니아롤,300,487.639,89.227,12.33,9.046
한치초밥,250,374.18,77.923,13.712,0.848
해물덮밥,700,771.933,100.449,42.037,22.443
해물볶음밥,400,705.217,90.459,25.105,26.996
회덮밥,500,683.018,103.3,30.21,16.553
깻잎나물볶음,200,206,11.5,7.5,14.4
돼지고기볶음,200,350.673,18.21,22.961,20.665
돼지껍데기볶음,150,352,24.5,25.8,16.7
두부김치,250,288.213,14.079,19.466,17.115
머위나물볶음,150,108,7.6,3.5,7
멸치풋고추볶음,20,52.379,3.406,4.65,2.239
소세지볶음,200,471,31.8,18.8,29.9
순대볶음,400,582,76.7,20.7,21.3
양송이버섯볶음,150,136,11,4.5,8.3
오삼불고기,200,363,20.5,25.6,19.9
주꾸미볶음,200,211.413,22.825,18.326,5.201
표고버섯볶음,150,142,15.8,4.5,6.7
해물볶음,400,419.06,32.2,38.2,15.3
곰보빵,70,277.336,42.157,6.313,9.273
만주,70,222.494,46.803,5.13,1.64
버터크림빵,60,229.957,27.736,4.905,11.043
불고기피자,200,505,61.2,27.4,16.7
참치샌드위치,250,555,36.5,23.3,35.1
찹쌀도우넛,70,207.047,39.952,3.526,3.682
채소고로케,100,300.653,31.187,7.125,16.378
초콜릿케이크,100,420.243,43.597,5.315,24.955
치즈케이크,100,329.145,28.638,7.225,20.632
치즈피자,200,553,71.2,31.4,15.8
페이스트리빵,70,319.59,32.516,5.992,18.396
페퍼로니피자,200,532,70.3,29.4,14.8
포테이토피자,250,628,71.6,28,25.5
수정과,150,133.004,20.337,0.597,5.474
식혜,150,130.137,24.319,2.302,2.628
간장마늘쫑장아찌,50,30,5.4,1,0.5
고추장마늘쫑장아찌,50,55,10.5,1.3,0.9
매실장아찌,30,72.879,17.432,0.496,0.129
무장아찌,30,23.923,5.029,0.441,0.227
계적,250,488.084,0,57.721,30.429
낙지꼬지,80,75.354,2.828,13.14,1.276
돔베기적,100,159.486,0,30.077,7.417
소고기산적,200,453.075,7.331,48.41,25.568
소라산적,80,120.1,6.451,17.922,2.512
오징어산적,80,101.709,3.603,17.375,1.977
홍어적,100,89.153,0,23.592,0.66
홍합산적,80,156.665,10.576,17.782,4.804
가자미전,150,230.282,6.915,25.76,11.065
고추전,150,274.689,17.01,12.91,17.223
굴전,100,195,14.5,10.6,10.5
깻잎전,150,361.099,14.543,17.736,25.776
녹두빈대떡,100,207.942,20.934,7.945,10.27
동그랑땡(육원전),150,309.2,12.681,19.618,20.001
동태전,150,268.045,10.536,22.636,15.04
두부전,150,254.643,7.499,20.458,15.868
미나리전,150,226.413,34.227,5.239,7.617
배추전,150,240.746,35.515,5.166,8.669
버섯전,150,240.687,16.194,10.524,14.868
야채전,100,194,21.6,5.4,9.5
파전,150,292.799,34.807,6.834,14.026
햄부침,100,244,11.3,11.3,17.1
호박부침개,100,129,10.1,3.9,8.1
호박전,150,208.104,16.096,6.478,13.09
화양적,150,272.647,21.347,13.582,14.77
가자미조림,300,297.98,21.5,37.1,7.1
고추조림,100,111,13.4,3.3,4.9
동태조림,250,276,17.4,40.8,4.7
돼지고기메추리알장조림,50,63.492,3.372,8.336,1.851
북어조림,100,181.86,17.143,20.826,3.331
소고기메추리알장조림,50,60.652,2.883,8.137,1.842
조기조림,300,384,12.8,41.1,18.8
게살죽,800,564.83,107.346,17.898,7.095
깨죽,800,515.348,79.305,13.656,15.944
백합죽,700,455.28,84.7,16.5,5.6
소고기버섯죽,800,578.278,109.026,18.747,7.465
어죽,800,552.06,100.8,20.4,7.5
잣죽,700,874.482,155.275,19.179,19.629
참치죽,800,659.599,104.566,24.194,16.062
고등어찌개,600,601.62,25.6,48.9,33.7
김치찌개,400,243.032,11.929,15.069,15.005
꽁치찌개,300,355,12.2,24,23.3
두부전골,500,315.16,17.1,25.6,16.1
버섯찌개,400,167.56,15.4,14.7,5.2
부대찌개,600,399.5,39.7,18.4,18.6
새우젓두부찌개,300,166,7.2,16.2,8.1
소곱창전골,600,529,29.2,41.6,27.3
햄김치찌개,300,189,12.7,11.1,10.4
호박찌개,300,95,12.2,5.6,2.6
대구찜,500,376.42,24.7,51.7,7.9
도미찜,100,125.506,0.54,22.996,3.485
동태찜,500,394.32,25.8,50.9,9.7
돼지등갈비찜,450,961.04,57.4,72.1,49.2
돼지머리고기,200,650,3.5,42.4,52
매운갈비찜,300,517.44,23.7,61.3,19.7
문어숙회,80,66.914,0.73,14.862,0.505
민어찜,100,136.878,0,21.474,5.914
병어찜,100,179.688,0.157,18.857,11.515
북어찜,150,235,18,28.1,5.7
붕어찜,1100,835.6,71.6,54.3,36.9
소갈비찜,250,494.599,13.138,49.86,26.956
순대 ,300,542.415,58.362,19.561,25.636
아구찜,400,310.871,17.471,48.302,5.309
아구찜,750,492.32,43.1,65.4,6.5
안동찜닭,1500,1364.21,139.5,114.2,38.8
전어찜,100,278.218,0.597,17.275,22.97
조기찜,100,182.118,1.642,20.058,10.59
참꼬막,80,90.787,4.592,12.472,2.503
한방오리백숙,300,469.532,3.358,68.79,20.104
해물찜,500,400.08,35.4,42.6,9.8
홍어찜,250,202.669,1.221,47.12,1.034
갈낙탕,400,261.77,0.8,35.8,12.8
곰탕,300,183.25,18.1,19.4,3.7
광어매운탕,600,419.793,9.133,58.417,16.621
낙지탕,600,187.8,10.4,29.4,3.2
대구매운탕,600,361.747,16.844,57.361,7.214
대구지리탕,600,262.02,9.9,41.6,6.2
메기매운탕,600,400,48.6,28.6,10.2
복지리탕,600,232.05,10.3,41.7,2.7
소탕,150,86.369,1.898,7.657,5.35
아구탕,600,246.07,12.8,37.8,4.9
어탕,150,85.87,1.817,12.699,3.09
연포탕,1000,541.644,20.191,94.902,9.03
우럭매운탕,600,406.816,11.235,52.146,17.032
육탕,150,87.633,0.351,12.661,3.954
전복탕,600,196.85,15.8,26.8,3
조기매운탕,600,384.38,17.3,35.1,19.4
짱뚱어탕,600,188.77,16.6,11.5,8.5
추어탕,1000,316.72,26.8,22.7,13.2
해물탕,600,267.81,16.6,39.8,4.7
고구마맛탕,200,491,94.6,3.3,11
고구마튀김,100,252.964,33.802,2.723,11.874
고추튀김,100,202,14.6,7.6,12.6
닭튀김,300,903,48.8,65.2,49.7
등심돈가스,200,623.828,38.489,32.992,37.545
모래집튀김,150,468.37,29.1,28.1,26.6
미꾸라지튀김,100,387.487,28.855,10.887,25.391
생선까스,200,653.441,46.56,24.334,41.096
안심돈가스,200,651.755,34.253,33.281,42.402
양념치킨,200,552,42.3,35.5,26.8
쥐포튀김,100,356.912,42.502,9.617,16.493
치즈돈가스,250,755.369,41.764,42.02,46.693
치킨까스,200,592.998,44.021,27.913,33.918
대구포,100,140.842,2.335,31.966,0.404
북어포,20,66.463,0.317,15.423,0.389
매작과,30,123.861,19.833,2.254,3.946
산자,30,109.711,24.652,0.693,0.926
송화다식,30,110.827,22.192,2.489,1.345
약과,30,119.731,25.467,1.259,1.425
유과,30,127.091,22.269,0.842,3.85
글램핑 바비큐(오리지널 L),157,410,0,17,0
글램핑 바비큐(나폴리M),127,328,0,15,0
글램핑 바비큐(나폴리L),126,312,0,16,0
